OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20151215125502,Field Msr/Obs,Water,,12/15/2015,12:55:00,EST,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20151215125502,,,,,,,,,STORET-785553352,,,Specific conductance,Total,584.5,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PP,11NPSWRD_WQX,NCRN Core Water Parameters - YSI ProPlus,,,,,,,,,,,54:16.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20160301110002,Field Msr/Obs,Water,,3/1/2016,11:00:00,EST,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20160301110002,,,,,,,,,STORET-785553378,,,Specific conductance,Total,500,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PP,11NPSWRD_WQX,NCRN Core Water Parameters - YSI ProPlus,,,,,,,,,,,54:17.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20160609095202,Field Msr/Obs,Water,,6/9/2016,9:52:38,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20160609095202,,,,,,,,,STORET-785553394,Not Reported,,Specific conductance,Total,,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PP,11NPSWRD_WQX,NCRN Core Water Parameters - YSI ProPlus,,,,,,,,,,,54:17.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20160802100602,Field Msr/Obs,Water,,8/2/2016,10:06:22,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20160802100602,,,,,,,,,STORET-785553421,,,Specific conductance,Total,465.9,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PP,11NPSWRD_WQX,NCRN Core Water Parameters - YSI ProPlus,,,,,,,,,,,54:17.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20170731142402,Field Msr/Obs,Water,,7/31/2017,14:24:19,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20170731142402,,,,,,,,,STORET-785553436,,,Specific conductance,Total,478.9,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PP,11NPSWRD_WQX,NCRN Core Water Parameters - YSI ProPlus,,,,,,,,,,,54:18.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20170926130402,Field Msr/Obs,Water,,9/26/2017,13:04:19,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20170926130402,,,,,,,,,STORET-785553452,,,Specific conductance,Total,646,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PP,11NPSWRD_WQX,NCRN Core Water Parameters - YSI ProPlus,,,,,,,,,,,54:18.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20170926130403,Field Msr/Obs,Water,,9/26/2017,13:04:19,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20170926130403,,,,,,,,,STORET-785553460,,,Specific conductance,Total,647,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PP,11NPSWRD_WQX,NCRN Core Water Parameters - YSI ProPlus,,,,,,,,,,,54:18.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20171102130402,Field Msr/Obs,Water,,11/2/2017,13:04:43,EST,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20171102130402,,,,,,,,,STORET-785553479,,,Specific conductance,Total,544,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PP,11NPSWRD_WQX,NCRN Core Water Parameters - YSI ProPlus,,,,,,,,,,,54:18.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20171102130403,Field Msr/Obs,Water,,11/2/2017,13:04:43,EST,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20171102130403,,,,,,,,,STORET-785553487,,,Specific conductance,Total,547.4,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PP,11NPSWRD_WQX,NCRN Core Water Parameters - YSI ProPlus,,,,,,,,,,,54:19.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20171120102602,Field Msr/Obs,Water,,11/20/2017,10:26:22,EST,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20171120102602,,,,,,,,,STORET-785553506,,,Specific conductance,Total,580.9,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PP,11NPSWRD_WQX,NCRN Core Water Parameters - YSI ProPlus,,,,,,,,,,,54:19.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20171120102603,Field Msr/Obs,Water,,11/20/2017,10:26:22,EST,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20171120102603,,,,,,,,,STORET-785553514,,,Specific conductance,Total,578.6,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PP,11NPSWRD_WQX,NCRN Core Water Parameters - YSI ProPlus,,,,,,,,,,,54:19.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20180411091402,Field Msr/Obs,Water,,4/11/2018,9:14:55,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20180411091402,,,,,,,,,STORET-785553541,,,Specific conductance,Total,536,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PDSS,11NPSWRD_WQX,NCRN Core Water data collection with YSI ProDSS,,,,,,,,,,,54:19.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20180411091403,Field Msr/Obs,Water,,4/11/2018,9:14:55,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20180411091403,,,,,,,,,STORET-785553549,,,Specific conductance,Total,537,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PDSS,11NPSWRD_WQX,NCRN Core Water data collection with YSI ProDSS,,,,,,,,,,,54:19.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20180514101202,Field Msr/Obs,Water,,5/14/2018,10:12:03,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20180514101202,,,,,,,,,STORET-785553584,,,Specific conductance,Total,515,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PDSS,11NPSWRD_WQX,NCRN Core Water data collection with YSI ProDSS,,,,,,,,,,,54:19.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20180514101203,Field Msr/Obs,Water,,5/14/2018,10:12:03,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20180514101203,,,,,,,,,STORET-785553592,,,Specific conductance,Total,517,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PDSS,11NPSWRD_WQX,NCRN Core Water data collection with YSI ProDSS,,,,,,,,,,,54:20.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20180716100802,Field Msr/Obs,Water,,7/16/2018,10:08:28,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20180716100802,,,,,,,,,STORET-785553627,,,Specific conductance,Total,609,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PDSS,11NPSWRD_WQX,NCRN Core Water data collection with YSI ProDSS,,,,,,,,,,,54:20.0,STORET
