Site,Specific.conductance
11NPSWRD_WQX-NCRN_ANTI_SHCK,597
11NPSWRD_WQX-NCRN_CATO_BGHC,142.75
11NPSWRD_WQX-NCRN_CATO_OWCK,149
11NPSWRD_WQX-NCRN_CATO_WHST,99.8
11NPSWRD_WQX-NCRN_GWMP_MICR,745
11NPSWRD_WQX-NCRN_GWMP_MIRU,155.225
11NPSWRD_WQX-NCRN_GWMP_PIRU,331.25
11NPSWRD_WQX-NCRN_GWMP_TURU,361.2
11NPSWRD_WQX-NCRN_HAFE_FLSP,662
11NPSWRD_WQX-NCRN_MANA_YOBR,477.4
11NPSWRD_WQX-NCRN_MONO_BUCK,331.1
11NPSWRD_WQX-NCRN_MONO_GAMI,475.05
11NPSWRD_WQX-NCRN_NACE_HECR,441.15
11NPSWRD_WQX-NCRN_NACE_OXRU,482.5
11NPSWRD_WQX-NCRN_NACE_STCK,375.025
11NPSWRD_WQX-NCRN_PRWI_CARU,100.65
11NPSWRD_WQX-NCRN_PRWI_MARU,51.55
11NPSWRD_WQX-NCRN_PRWI_MBBR,53.425
11NPSWRD_WQX-NCRN_PRWI_NFQC,93.95
11NPSWRD_WQX-NCRN_PRWI_ORRU,143.35
11NPSWRD_WQX-NCRN_PRWI_SFQC,63.3
11NPSWRD_WQX-NCRN_PRWI_SORU,40.5
11NPSWRD_WQX-NCRN_PRWI_TARU,59.15
11NPSWRD_WQX-NCRN_ROCR_BAKE,727
11NPSWRD_WQX-NCRN_ROCR_BRBR,771
11NPSWRD_WQX-NCRN_ROCR_DUOA,638.9
11NPSWRD_WQX-NCRN_ROCR_FEBR,789
11NPSWRD_WQX-NCRN_ROCR_HACR,787
11NPSWRD_WQX-NCRN_ROCR_KLVA,766
11NPSWRD_WQX-NCRN_ROCR_LUBR,864
11NPSWRD_WQX-NCRN_ROCR_NOST,710
11NPSWRD_WQX-NCRN_ROCR_PHBR,452
11NPSWRD_WQX-NCRN_ROCR_PYBR,661
11NPSWRD_WQX-NCRN_ROCR_ROC3,447.55
11NPSWRD_WQX-NCRN_ROCR_SVPS,791.5
11NPSWRD_WQX-NCRN_WOTR_CHCK,310.8
11NPSWRD_WQX-NCRN_WOTR_WOTR,270.8
