Year,Month,Day,DOY,Flow_cms_obs,Flow_growing,Flow_nongrowing,Flow_NLCD16,Date
2005,1,1,1,1.23,0,0,0,1/1/2005
2005,1,2,2,1.16,0,0,0,1/2/2005
2005,1,3,3,1.16,0,0,0,1/3/2005
2005,1,4,4,1.18,0,0,0,1/4/2005
2005,1,5,5,1.48,0.103,0.08332,0.05029,1/5/2005
2005,1,6,6,1.36,0.1081,0.06605,0.05351,1/6/2005
2005,1,7,7,1.24,0.08308,0.05144,0.04686,1/7/2005
2005,1,8,8,1.75,0.2033,0.1602,0.1143,1/8/2005
2005,1,9,9,1.45,0.1655,0.1349,0.09717,1/9/2005
2005,1,10,10,1.29,0.1126,0.1007,0.07519,1/10/2005
2005,1,11,11,1.24,0.07243,0.08231,0.05593,1/11/2005
2005,1,12,12,1.25,0.04684,0.07509,0.04341,1/12/2005
2005,1,13,13,1.23,0.3253,0.3532,0.1866,1/13/2005
2005,1,14,14,30.58,10.66,11.76,7.232,1/14/2005
2005,1,15,15,5.04,6.866,7.352,4.395,1/15/2005
2005,1,16,16,2.55,3.588,3.666,2.419,1/16/2005
2005,1,17,17,1.9,2.016,2.237,2.052,1/17/2005
2005,1,18,18,1.51,1.446,1.694,0.9131,1/18/2005
2005,1,19,19,1.44,0.5996,0.9122,0.4999,1/19/2005
2005,1,20,20,1.42,0.2958,0.5897,0.3174,1/20/2005
2005,1,21,21,1.33,0.1644,0.4304,0.2304,1/21/2005
2005,1,22,22,1.27,0.0971,0.3267,0.1797,1/22/2005
2005,1,23,23,1.19,0.06442,0.2561,0.1505,1/23/2005
2005,1,24,24,1.13,0.04583,0.205,0.1279,1/24/2005
2005,1,25,25,1.22,0.07152,0.1893,0.1131,1/25/2005
2005,1,26,26,1.31,0.4204,0.9513,0.1378,1/26/2005
2005,1,27,27,1.25,0.3424,0.7246,0.1208,1/27/2005
2005,1,28,28,1.16,0.2212,0.4437,0.1049,1/28/2005
2005,1,29,29,1.08,0.1401,0.2768,0.08884,1/29/2005
2005,1,30,30,1.3,0.09522,0.1923,0.07667,1/30/2005
2005,1,31,31,1.25,0.06263,0.1456,0.06793,1/31/2005
2005,2,1,32,1.22,0.04419,0.1152,0.06005,2/1/2005
2005,2,2,33,1.2,0.1299,0.1595,0.05549,2/2/2005
2005,2,3,34,1.22,0.1157,0.1386,0.05007,2/3/2005
2005,2,4,35,1.38,0.8036,1.355,0.3367,2/4/2005
2005,2,5,36,1.63,0.6088,1.089,0.5675,2/5/2005
2005,2,6,37,1.56,0.3665,0.6614,0.4449,2/6/2005
2005,2,7,38,1.47,0.2144,0.4025,0.2925,2/7/2005
2005,2,8,39,1.46,0.1254,0.2679,0.1975,2/8/2005
2005,2,9,40,1.47,0.08055,0.1995,0.1422,2/9/2005
2005,2,10,41,1.87,0.1306,0.2375,0.1652,2/10/2005
2005,2,11,42,1.38,0.1061,0.1931,0.1391,2/11/2005
2005,2,12,43,1.24,0.07625,0.15,0.1108,2/12/2005
2005,2,13,44,1.18,0.05291,0.1206,0.0897,2/13/2005
2005,2,14,45,1.75,0.9223,1.031,0.5771,2/14/2005
2005,2,15,46,2.52,0.697,0.7921,0.4249,2/15/2005
2005,2,16,47,1.55,0.406,0.4743,0.2782,2/16/2005
2005,2,17,48,1.4,0.2283,0.2887,0.1891,2/17/2005
2005,2,18,49,1.25,0.1341,0.1944,0.1388,2/18/2005
2005,2,19,50,1.14,0.08212,0.145,0.1065,2/19/2005
2005,2,20,51,1.14,0.05204,0.1158,0.0865,2/20/2005
2005,2,21,52,1.23,0.04966,0.1061,0.08627,2/21/2005
2005,2,22,53,1.57,0.03713,0.09587,0.07582,2/22/2005
2005,2,23,54,1.22,0.02856,0.08636,0.06612,2/23/2005
2005,2,24,55,1.35,0.02166,0.07698,0.05967,2/24/2005
2005,2,25,56,1.77,0.01665,0.0689,0.05092,2/25/2005
2005,2,26,57,1.56,0.1283,0.1348,0.04463,2/26/2005
2005,2,27,58,1.59,0.1311,0.1216,0.03852,2/27/2005
2005,2,28,59,1.53,0.09859,0.09708,0.03658,2/28/2005
2005,3,1,60,2.42,0.1741,0.1514,0.03273,3/1/2005
2005,3,2,61,2.06,0.1382,0.1279,0.03137,3/2/2005
2005,3,3,62,1.51,0.09396,0.1029,0.02656,3/3/2005
2005,3,4,63,1.36,0.3131,0.308,0.03252,3/4/2005
2005,3,5,64,1.41,0.2473,0.2568,0.04474,3/5/2005
2005,3,6,65,1.38,0.1593,0.1807,0.0825,3/6/2005
2005,3,7,66,1.4,0.09748,0.1312,0.09449,3/7/2005
2005,3,8,67,7.56,1.688,1.82,1.124,3/8/2005
2005,3,9,68,2.86,1.214,1.403,0.7892,3/9/2005
2005,3,10,69,1.87,0.7808,0.8387,0.4752,3/10/2005
2005,3,11,70,1.64,0.4438,0.4882,0.2974,3/11/2005
2005,3,12,71,1.51,0.247,0.3119,0.2033,3/12/2005
2005,3,13,72,1.36,0.142,0.2224,0.1482,3/13/2005
2005,3,14,73,1.3,0.08548,0.1679,0.115,3/14/2005
2005,3,15,74,1.24,0.05432,0.1344,0.09374,3/15/2005
2005,3,16,75,1.23,0.03585,0.1097,0.07925,3/16/2005
2005,3,17,76,1.22,0.02338,0.09704,0.06577,3/17/2005
2005,3,18,77,1.2,0.01521,0.08718,0.05822,3/18/2005
2005,3,19,78,1.16,0.009998,0.07748,0.0498,3/19/2005
2005,3,20,79,1.39,0.02943,0.08103,0.06502,3/20/2005
2005,3,21,80,1.38,0.02951,0.07515,0.05995,3/21/2005
2005,3,22,81,1.16,0.02526,0.06814,0.05556,3/22/2005
2005,3,23,82,21.8,9.715,10.02,9.747,3/23/2005
2005,3,24,83,7.22,6.444,6.432,5.512,3/24/2005
2005,3,25,84,2.67,3.374,3.268,2.914,3/25/2005
2005,3,26,85,2.02,1.91,2.021,1.707,3/26/2005
2005,3,27,86,1.75,1.809,2.036,1.596,3/27/2005
2005,3,28,87,26.9,9.084,9.56,9.817,3/28/2005
2005,3,29,88,15.43,5.857,6.049,5.532,3/29/2005
2005,3,30,89,3.09,3.089,3.187,2.941,3/30/2005
2005,3,31,90,2.19,1.779,2.06,1.776,3/31/2005
2005,4,1,91,1.92,2.047,2.06,1.858,4/1/2005
2005,4,2,92,29.45,21.72,22.59,25.45,4/2/2005
2005,4,3,93,20.67,12.2,12.55,11.71,4/3/2005
2005,4,4,94,3.94,5.728,5.928,5.38,4/4/2005
2005,4,5,95,2.64,2.825,2.981,2.81,4/5/2005
2005,4,6,96,2.21,2.108,2.017,1.785,4/6/2005
2005,4,7,97,2.02,1.164,1.909,1.687,4/7/2005
2005,4,8,98,3.26,0.755,1.305,1.023,4/8/2005
2005,4,9,99,2.14,0.5587,0.9989,0.763,4/9/2005
2005,4,10,100,1.79,0.4684,0.8211,0.6548,4/10/2005
2005,4,11,101,1.67,0.4372,0.7129,0.6075,4/11/2005
2005,4,12,102,1.57,0.4425,0.6509,0.595,4/12/2005
2005,4,13,103,1.56,0.4578,0.6094,0.5877,4/13/2005
2005,4,14,104,1.49,0.4701,0.5795,0.5854,4/14/2005
2005,4,15,105,1.42,0.49,0.5605,0.5819,4/15/2005
2005,4,16,106,1.38,0.5034,0.5502,0.5778,4/16/2005
2005,4,17,107,1.37,0.5143,0.5423,0.5782,4/17/2005
2005,4,18,108,1.36,0.5321,0.5376,0.5769,4/18/2005
2005,4,19,109,1.35,0.5367,0.5355,0.5741,4/19/2005
2005,4,20,110,1.36,0.5518,0.5335,0.5731,4/20/2005
2005,4,21,111,1.35,0.5785,0.5634,0.5929,4/21/2005
2005,4,22,112,2.19,2.104,2.084,1.885,4/22/2005
2005,4,23,113,2.89,2.338,2.209,1.623,4/23/2005
2005,4,24,114,2.36,1.928,1.797,1.176,4/24/2005
2005,4,25,115,1.5,1.679,1.818,1.03,4/25/2005
2005,4,26,116,1.35,1.111,1.277,0.8461,4/26/2005
2005,4,27,117,1.29,0.8504,1.026,0.7288,4/27/2005
2005,4,28,118,1.23,0.7134,0.8782,0.6613,4/28/2005
2005,4,29,119,1.2,0.6495,0.7902,0.6234,4/29/2005
2005,4,30,120,4.05,2.543,2.71,2.034,4/30/2005
2005,5,1,121,5.66,2.224,2.176,1.715,5/1/2005
2005,5,2,122,1.97,1.783,1.865,1.302,5/2/2005
2005,5,3,123,1.54,1.716,1.828,0.9557,5/3/2005
2005,5,4,124,1.38,1.029,1.236,0.7615,5/4/2005
2005,5,5,125,1.3,0.7666,0.9763,0.6624,5/5/2005
2005,5,6,126,1.27,0.6511,0.8316,0.6104,5/6/2005
2005,5,7,127,1.25,0.5995,0.7378,0.5755,5/7/2005
2005,5,8,128,1.19,0.5716,0.6701,0.5553,5/8/2005
2005,5,9,129,1.13,0.5515,0.626,0.539,5/9/2005
2005,5,10,130,1.11,0.542,0.5854,0.5254,5/10/2005
2005,5,11,131,1.09,0.5321,0.5589,0.5102,5/11/2005
2005,5,12,132,1.06,0.5273,0.5348,0.5031,5/12/2005
2005,5,13,133,1.01,0.5187,0.5187,0.4914,5/13/2005
2005,5,14,134,2.34,5.881,6.48,4.066,5/14/2005
2005,5,15,135,5.61,4.38,4.617,2.929,5/15/2005
2005,5,16,136,1.58,2.652,2.64,2.037,5/16/2005
2005,5,17,137,1.2,1.763,1.916,1.663,5/17/2005
2005,5,18,138,1.1,1.582,1.761,1.042,5/18/2005
2005,5,19,139,1.04,1.681,2.051,1.338,5/19/2005
2005,5,20,140,26.9,12.59,13.41,12.16,5/20/2005
2005,5,21,141,7.25,7.989,8.406,6.752,5/21/2005
2005,5,22,142,2.57,4.2,4.371,3.588,5/22/2005
2005,5,23,143,2.04,3.149,3.336,2.571,5/23/2005
2005,5,24,144,5.24,5.492,5.967,4.686,5/24/2005
2005,5,25,145,6.12,3.618,3.982,3.081,5/25/2005
2005,5,26,146,2.51,2.189,2.437,2.124,5/26/2005
2005,5,27,147,1.87,1.876,2.476,1.731,5/27/2005
2005,5,28,148,1.64,1.075,1.596,1.118,5/28/2005
2005,5,29,149,1.55,0.7221,1.188,0.8015,5/29/2005
2005,5,30,150,1.44,0.5574,0.9539,0.6328,5/30/2005
2005,5,31,151,1.45,0.4687,0.7965,0.5185,5/31/2005
2005,6,1,152,1.33,0.4257,0.6816,0.4486,6/1/2005
2005,6,2,153,1.25,0.4036,0.6082,0.4065,6/2/2005
2005,6,3,154,2.57,1.318,1.624,0.9117,6/3/2005
2005,6,4,155,1.87,1.054,1.274,0.6718,6/4/2005
2005,6,5,156,1.44,0.7314,0.8879,0.4858,6/5/2005
2005,6,6,157,1.53,1.024,1.234,0.6371,6/6/2005
