Date	Time	Qobs	Cali_Valid_Flag
2013-1-01	0:00	2.28	C
2013-2-01	0:00	2.33	C
2013-3-01	0:00	2.36	C
2013-4-01	0:00	1.65	C
2013-5-01	0:00	1.74	C
2013-6-01	0:00	3.93	C
2013-7-01	0:00	1.92	C
2013-8-01	0:00	0.63	C
2013-9-01	0:00	0.77	C
2013-10-01	0:00	2.55	C
2013-11-01	0:00	1.33	C
2013-12-01	0:00	3.00	C
2014-1-01	0:00	2.44	C
2014-2-01	0:00	3.52	C
2014-3-01	0:00	3.07	C
2014-4-01	0:00	5.09	C
2014-5-01	0:00	7.23	C
2014-6-01	0:00	2.28	C
2014-7-01	0:00	1.96	C
2014-8-01	0:00	2.89	C
2014-9-01	0:00	1.40	C
2014-10-01	0:00	1.67	C
2014-11-01	0:00	1.67	C
2014-12-01	0:00	2.58	C
2015-1-01	0:00	2.81	C
2015-2-01	0:00	1.63	C
2015-3-01	0:00	4.38	C
2015-4-01	0:00	2.98	C
2015-5-01	0:00	1.63	C
2015-6-01	0:00	4.16	C
2015-7-01	0:00	1.44	C
2015-8-01	0:00	0.48	C
2015-9-01	0:00	0.57	C
2015-10-01	0:00	0.95	C
2015-11-01	0:00	0.79	C
2015-12-01	0:00	2.08	C
2016-1-01	0:00	1.63	C
2016-2-01	0:00	4.94	C
2016-3-01	0:00	1.58	C
2016-4-01	0:00	1.53	C
2016-5-01	0:00	3.81	C
2016-6-01	0:00	1.95	C
2016-7-01	0:00	2.24	C
2016-8-01	0:00	1.64	C
2016-9-01	0:00	1.17	C
2016-10-01	0:00	0.50	C
2016-11-01	0:00	0.48	C
2016-12-01	0:00	1.38	C
2017-1-01	0:00	1.56	C
2017-2-01	0:00	0.69	C
2017-3-01	0:00	1.45	C
2017-4-01	0:00	2.16	C
2017-5-01	0:00	3.27	C
2017-6-01	0:00	0.84	C
2017-7-01	0:00	4.51	V
2017-8-01	0:00	2.24	V
2017-9-01	0:00	1.08	V
2017-10-01	0:00	0.99	V
2017-11-01	0:00	1.05	V
2017-12-01	0:00	0.57	V
2018-1-01	0:00	0.82	V
2018-2-01	0:00	2.70	V
2018-3-01	0:00	1.24	V
2018-4-01	0:00	3.22	V
2018-5-01	0:00	4.01	V
2018-6-01	0:00	3.17	V
2018-7-01	0:00	4.82	V
2018-8-01	0:00	3.38	V
2018-9-01	0:00	6.49	V
2018-10-01	0:00	2.48	V
2018-11-01	0:00	6.66	V
2018-12-01	0:00	6.27	V
2019-1-01	0:00	4.75	V
2019-2-01	0:00	4.30	V
2019-3-01	0:00	5.43	V
2019-4-01	0:00	2.17	V
2019-5-01	0:00	4.20	V
2019-6-01	0:00	1.63	V
2019-7-01	0:00	2.90	V
2019-8-01	0:00	2.16	V
2019-9-01	0:00	0.49	V
2019-10-01	0:00	1.75	V
2019-11-01	0:00	2.02	V
2019-12-01	0:00	1.70	V
2020-1-01	0:00	2.36	V
2020-2-01	0:00	2.51	V
2020-3-01	0:00	1.76	V
2020-4-01	0:00	3.83	V
2020-5-01	0:00	2.39	V
2020-6-01	0:00	3.46	V
2020-7-01	0:00	2.38	V
2020-8-01	0:00	3.62	V
2020-9-01	0:00	3.91	V
2020-10-01	0:00	1.92	V
2020-11-01	0:00	2.85	V
2020-12-01	0:00	5.16	V
2021-1-01	0:00	2.28	V
2021-2-01	0:00	3.76	V
2021-3-01	0:00	3.42	V
2021-4-01	0:00	2.44	V
2021-5-01	0:00	1.74	V
2021-6-01	0:00	2.01	V
2021-7-01	0:00	1.49	V
2021-8-01	0:00	3.61	V
2021-9-01	0:00	3.98	V
2021-10-01	0:00	2.03	V
2021-11-01	0:00	1.06	V
2021-12-01	0:00	0.68	V
