Date	Time	N_kg/mo	Cali_Valid_Flag
2013-1-01	0:00	NA	C
2013-2-01	0:00	NA	C
2013-3-01	0:00	NA	C
2013-4-01	0:00	NA	C
2013-5-01	0:00	NA	C
2013-6-01	0:00	NA	C
2013-7-01	0:00	NA	C
2013-8-01	0:00	NA	C
2013-9-01	0:00	NA	C
2013-10-01	0:00	NA	C
2013-11-01	0:00	NA	C
2013-12-01	0:00	NA	C
2014-1-01	0:00	NA	C
2014-2-01	0:00	NA	C
2014-3-01	0:00	NA	C
2014-4-01	0:00	NA	C
2014-5-01	0:00	NA	C
2014-6-01	0:00	NA	C
2014-7-01	0:00	NA	C
2014-8-01	0:00	NA	C
2014-9-01	0:00	NA	C
2014-10-01	0:00	NA	C
2014-11-01	0:00	NA	C
2014-12-01	0:00	NA	C
2015-1-01	0:00	NA	C
2015-2-01	0:00	NA	C
2015-3-01	0:00	NA	C
2015-4-01	0:00	NA	C
2015-5-01	0:00	NA	C
2015-6-01	0:00	NA	C
2015-7-01	0:00	NA	C
2015-8-01	0:00	NA	C
2015-9-01	0:00	NA	C
2015-10-01	0:00	NA	C
2015-11-01	0:00	NA	C
2015-12-01	0:00	NA	C
2016-1-01	0:00	NA	C
2016-2-01	0:00	NA	C
2016-3-01	0:00	NA	C
2016-4-01	0:00	NA	C
2016-5-01	0:00	NA	C
2016-6-01	0:00	NA	C
2016-7-01	0:00	4343.455999	C
2016-8-01	0:00	NA	C
2016-9-01	0:00	NA	C
2016-10-01	0:00	NA	C
2016-11-01	0:00	NA	C
2016-12-01	0:00	NA	C
2017-1-01	0:00	4462.894896	C
2017-2-01	0:00	1840.157766	C
2017-3-01	0:00	NA	C
2017-4-01	0:00	4592.17392	C
2017-5-01	0:00	NA	C
2017-6-01	0:00	1874.713203	C
2017-7-01	0:00	6886.697518	V
2017-8-01	0:00	NA	C
2017-9-01	0:00	NA	C
2017-10-01	0:00	NA	C
2017-11-01	0:00	1810.241037	V
2017-12-01	0:00	NA	C
2018-1-01	0:00	3131.812557	V
2018-2-01	0:00	7370.612115	V
2018-3-01	0:00	NA	C
2018-4-01	0:00	7495.799486	V
2018-5-01	0:00	NA	C
2018-6-01	0:00	NA	C
2018-7-01	0:00	NA	C
2018-8-01	0:00	NA	C
2018-9-01	0:00	NA	C
2018-10-01	0:00	NA	C
2018-11-01	0:00	NA	C
2018-12-01	0:00	NA	C
2019-1-01	0:00	NA	C
2019-2-01	0:00	NA	C
2019-3-01	0:00	NA	C
2019-4-01	0:00	NA	C
2019-5-01	0:00	NA	C
2019-6-01	0:00	NA	C
2019-7-01	0:00	NA	C
2019-8-01	0:00	NA	C
2019-9-01	0:00	NA	C
2019-10-01	0:00	NA	C
2019-11-01	0:00	NA	C
2019-12-01	0:00	NA	C
2020-1-01	0:00	NA	C
2020-2-01	0:00	NA	C
2020-3-01	0:00	NA	C
2020-4-01	0:00	NA	C
2020-5-01	0:00	NA	C
2020-6-01	0:00	NA	C
2020-7-01	0:00	NA	C
2020-8-01	0:00	NA	C
2020-9-01	0:00	NA	C
2020-10-01	0:00	NA	C
2020-11-01	0:00	NA	C
2020-12-01	0:00	NA	C
2021-1-01	0:00	NA	C
2021-2-01	0:00	NA	C
2021-3-01	0:00	NA	C
2021-4-01	0:00	NA	C
2021-5-01	0:00	NA	C
2021-6-01	0:00	NA	C
2021-7-01	0:00	NA	C
2021-8-01	0:00	NA	C
2021-9-01	0:00	NA	C
2021-10-01	0:00	NA	C
2021-11-01	0:00	NA	C
2021-12-01	0:00	NA	C
