"","water","trees","grass","flooded_vegetation","crops","shrub_and_scrub","built","bare","snow_and_ice"
"11NPSWRD_WQX-NCRN_ANTI_ANCR",0,6,-7,0,8,-6,-1,-1,0
"11NPSWRD_WQX-NCRN_ANTI_SHCK",0,3,-4,0,9,-4,-1,-2,0
"11NPSWRD_WQX-NCRN_CATO_BGHC",0,10,-1,0,0,-7,0,-2,0
"11NPSWRD_WQX-NCRN_CATO_OWCK",0,7.00000000000001,-3,0,2,-3,-1,-2,0
"11NPSWRD_WQX-NCRN_CATO_WHST",0,19,0,0,0,-14,0,-5,0
"11NPSWRD_WQX-NCRN_GWMP_DIRU",0,12,0,0,-1,-2,-10,-1,0
"11NPSWRD_WQX-NCRN_GWMP_DORU",0,-1,1,0,-1,0,1,0,0
"11NPSWRD_WQX-NCRN_GWMP_GUBR",0,2,0,0,0,0,-2,0,0
"11NPSWRD_WQX-NCRN_GWMP_MICR",0,1,-1,0,0,0,0,0,0
"11NPSWRD_WQX-NCRN_GWMP_MIRU",0,5,-1,0,0,-1,-2,-2,0
"11NPSWRD_WQX-NCRN_GWMP_PIRU",0,4,0,0,0,0,-3,0,0
"11NPSWRD_WQX-NCRN_GWMP_TURU",0,3,0,0,-1,0,-1,-1,0
"11NPSWRD_WQX-NCRN_HAFE_FLSP",0,7,-7,0,8,-4,-4,1,0
"11NPSWRD_WQX-NCRN_MANA_CHBR",0,12,7,0,-3,-11,-1,-4,0
"11NPSWRD_WQX-NCRN_MANA_DOBR",0,26,9,0,-1,-27,-2,-5,0
"11NPSWRD_WQX-NCRN_MANA_HOBR",0,11,0,0,-2,-1,-9,0,0
"11NPSWRD_WQX-NCRN_MANA_YOBR",0,12,7,0,-3,-10,-1,-5,0
"11NPSWRD_WQX-NCRN_MONO_BUCK",0,16,-6,0,3,-5,-8,-1,0
"11NPSWRD_WQX-NCRN_MONO_GAMI",0,16,-2,0,2,-5,-10,0,0
"11NPSWRD_WQX-NCRN_MONO_HARU",0,6,-13,0,10,-1,-1,-1,0
"11NPSWRD_WQX-NCRN_NACE_ACCK",0,0,0,0,0,0,0,0,0
"11NPSWRD_WQX-NCRN_NACE_FTDU",0,3.99999999999999,0,0,0,0,-4,0,0
"11NPSWRD_WQX-NCRN_NACE_HECR",0,8,2,0,-1,-1,-9.00000000000001,2,0
"11NPSWRD_WQX-NCRN_NACE_OXRU",0,7,1,0,0,-1,-7.00000000000001,0,0
"11NPSWRD_WQX-NCRN_NACE_STCK",1,8,1,0,-1,-1,-7,0,0
"11NPSWRD_WQX-NCRN_PRWI_BONE",0,2,0,0,0,-1,-1,0,0
"11NPSWRD_WQX-NCRN_PRWI_CARU",0,3,0,0,0,-3,0,0,0
"11NPSWRD_WQX-NCRN_PRWI_MARU",0,3,0,0,0,-3,0,0,0
"11NPSWRD_WQX-NCRN_PRWI_MBBR",0,2,0,0,0,-1,0,-1,0
"11NPSWRD_WQX-NCRN_PRWI_MBCH",0,6.99999999999999,0,0,0,-7,0,0,0
"11NPSWRD_WQX-NCRN_PRWI_NFQC",0,4.99999999999999,0,0,0,-3,-1,-1,0
"11NPSWRD_WQX-NCRN_PRWI_NOBR",0,11,0,0,0,-10,0,-1,0
"11NPSWRD_WQX-NCRN_PRWI_NOCH",0,0,0,0,0,0,0,0,0
"11NPSWRD_WQX-NCRN_PRWI_ORRU",0,3,-1,0,0,-2,0,0,0
"11NPSWRD_WQX-NCRN_PRWI_QUCR",0,5.99999999999999,0,0,0,-5,0,-1,0
"11NPSWRD_WQX-NCRN_PRWI_SFQC",0,4.99999999999999,0,0,0,-3,-1,-1,0
"11NPSWRD_WQX-NCRN_PRWI_SFQR",0,5.99999999999999,0,0,0,-6,-1,-1,0
"11NPSWRD_WQX-NCRN_PRWI_SORU",0,8,0,0,0,-7,-1,-1,0
"11NPSWRD_WQX-NCRN_PRWI_TARU",0,6.00000000000001,0,0,0,-6,0,0,0
"11NPSWRD_WQX-NCRN_ROCR_BAKE",0,13,0,0,0,-1,-12,0,0
"11NPSWRD_WQX-NCRN_ROCR_BRBR",0,4,0,0,0,0,-4.99999999999999,0,0
"11NPSWRD_WQX-NCRN_ROCR_DUOA",0,12,1,0,0,0,-13,0,0
"11NPSWRD_WQX-NCRN_ROCR_EGWA",0,12,0,0,-2,-2,-8.00000000000001,0,0
"11NPSWRD_WQX-NCRN_ROCR_FEBR",0,2,0,0,0,0,-2,0,0
"11NPSWRD_WQX-NCRN_ROCR_HACR",0,11,0,0,-2,-2,-8.00000000000001,-1,0
"11NPSWRD_WQX-NCRN_ROCR_KLVA",0,12,0,0,0,-1,-11,0,0
"11NPSWRD_WQX-NCRN_ROCR_LUBR",0,3,-1,0,0,0,-2,0,0
"11NPSWRD_WQX-NCRN_ROCR_NOST",1,17,0,0,0,0,-18,0,0
"11NPSWRD_WQX-NCRN_ROCR_PHBR",0,5,0,0,0,0,-4.99999999999999,0,0
"11NPSWRD_WQX-NCRN_ROCR_PYBR",0,3,0,0,0,0,-2.99999999999999,0,0
"11NPSWRD_WQX-NCRN_ROCR_ROC3",0,11,0,0,-2,-1,-8,0,0
"11NPSWRD_WQX-NCRN_ROCR_ROCR",0,13,-1,0,-1,-2,-9.00000000000001,-1,0
"11NPSWRD_WQX-NCRN_ROCR_SVPS",0,5,0,0,0,0,-5,0,0
"11NPSWRD_WQX-NCRN_WOTR_CHCK",1,8,0,0,0,0,-7.00000000000001,0,0
"11NPSWRD_WQX-NCRN_WOTR_WOTR",1,8,0,0,-1,-1,-7.00000000000001,0,0
