Water year,Season,site,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice
2016,non,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.42,0.01,0,0.01,0.02,0.54,0.01,0
2016,grow,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.54,0.01,0,0,0,0.44,0,0
2017,non,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.61,0.01,0,0,0,0.37,0,0
2017,grow,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.57,0.01,0,0,0,0.41,0,0
2018,non,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.55,0.01,0,0,0,0.42,0,0
2018,grow,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.52,0.01,0,0,0,0.46,0,0
2019,non,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.48,0.02,0,0,0,0.49,0,0
2019,grow,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.59,0.01,0,0,0,0.39,0,0
2020,non,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.47,0.01,0,0,0,0.5,0.01,0
2020,grow,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.53,0.01,0,0,0,0.44,0,0
2021,non,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.46,0.01,0,0,0.01,0.5,0,0
2021,grow,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.52,0.01,0,0,0,0.46,0,0
2022,non,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.5,0.01,0,0,0,0.46,0,0
2022,grow,11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.51,0.01,0,0,0,0.47,0,0
2016,non,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.4,0.19,0,0.11,0.05,0.24,0.01,0
2016,grow,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.56,0.13,0,0.14,0,0.16,0,0
2017,non,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.47,0.2,0,0.08,0.03,0.22,0,0
2017,grow,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.51,0.13,0,0.15,0,0.2,0,0
2018,non,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.49,0.16,0,0.11,0.01,0.22,0,0
2018,grow,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.53,0.11,0,0.15,0,0.2,0,0
2019,non,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.47,0.18,0,0.11,0.01,0.24,0,0
2019,grow,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.57,0.12,0,0.13,0,0.18,0,0
2020,non,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.46,0.18,0,0.09,0.02,0.24,0,0
2020,grow,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.56,0.11,0,0.13,0,0.19,0,0
2021,non,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.46,0.2,0,0.06,0.02,0.25,0,0
2021,grow,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.56,0.11,0,0.13,0,0.2,0,0
2022,non,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.51,0.16,0,0.09,0.01,0.23,0,0
2022,grow,11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.51,0.12,0,0.14,0,0.23,0,0
2016,non,Rock_Creek_USGS,0.01,0.26,0.04,0,0.02,0.02,0.66,0.01,0
2016,grow,Rock_Creek_USGS,0.01,0.38,0.03,0,0,0,0.57,0,0
2017,non,Rock_Creek_USGS,0.01,0.37,0.04,0,0.01,0.01,0.57,0,0
2017,grow,Rock_Creek_USGS,0.01,0.37,0.03,0,0.01,0,0.58,0,0
2018,non,Rock_Creek_USGS,0.01,0.39,0.04,0,0,0,0.55,0,0
2018,grow,Rock_Creek_USGS,0.01,0.36,0.03,0,0.01,0,0.59,0,0
2019,non,Rock_Creek_USGS,0.01,0.31,0.05,0,0,0.01,0.62,0,0
2019,grow,Rock_Creek_USGS,0.01,0.39,0.03,0,0,0,0.57,0,0
2020,non,Rock_Creek_USGS,0.01,0.33,0.05,0,0,0.01,0.61,0,0
2020,grow,Rock_Creek_USGS,0.01,0.37,0.03,0,0,0,0.59,0,0
2021,non,Rock_Creek_USGS,0.01,0.3,0.05,0,0.01,0.02,0.62,0.01,0
2021,grow,Rock_Creek_USGS,0.01,0.37,0.03,0,0.01,0,0.59,0,0
2022,non,Rock_Creek_USGS,0.01,0.33,0.05,0,0,0.01,0.6,0,0
2022,grow,Rock_Creek_USGS,0.01,0.36,0.03,0,0.01,0,0.59,0,0
