,Open water (11),Perennial ice/snow (12),"Developed, open (21)","Developed, low (22)","Developed, medium (23)","Developed, high (24)",Barren (31),Deciduous forest (41),Evergreen forest (42),Mixed forest (43),Shrubland (52),Grassland (71),Pasture (81),Crops (82),Woody wetlands (90),Emergent wetlands (95)
11NPSWRD_WQX-NCRN_ANTI_ANCR,0.002,0,0.082,0.07,0.03,0.011,0.001,0.238,0.007,0.069,0.001,0.004,0.2,0.279,0.004,0.002
11NPSWRD_WQX-NCRN_ANTI_SHCK,0,0,0.197,0.14,0.04,0.005,0.001,0.008,0,0.029,0,0,0.418,0.162,0,0
11NPSWRD_WQX-NCRN_CATO_BGHC,0.008,0,0.066,0.007,0.001,0,0.001,0.82,0.002,0.021,0.001,0.002,0.058,0.007,0.006,0
11NPSWRD_WQX-NCRN_CATO_OWCK,0,0,0.069,0.008,0.002,0,0,0.765,0.001,0.054,0,0,0.095,0.004,0.002,0
11NPSWRD_WQX-NCRN_CATO_WHST,0,0,0.061,0.001,0,0,0,0.938,0,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_GWMP_DIRU,0.005,0,0.301,0.174,0.081,0.025,0,0.27,0.002,0.078,0.004,0.004,0.017,0,0.037,0
11NPSWRD_WQX-NCRN_GWMP_DORU,0,0,0.424,0.218,0.055,0.006,0,0.23,0,0.061,0.002,0,0.005,0,0,0
11NPSWRD_WQX-NCRN_GWMP_GUBR,0,0,0.388,0.391,0.036,0.002,0.004,0.13,0.002,0.04,0,0.001,0.006,0,0,0
11NPSWRD_WQX-NCRN_GWMP_MICR,0,0,0.424,0.434,0.048,0.007,0.001,0.071,0.001,0.012,0,0,0,0,0.001,0
11NPSWRD_WQX-NCRN_GWMP_MIRU,0,0,0.187,0.007,0.001,0,0,0.729,0,0.051,0.001,0.004,0.003,0,0.018,0
11NPSWRD_WQX-NCRN_GWMP_PIRU,0,0,0.305,0.378,0.107,0.021,0.001,0.135,0.001,0.039,0.001,0.003,0.005,0,0.006,0
11NPSWRD_WQX-NCRN_GWMP_TURU,0,0,0.196,0.103,0.036,0.006,0.001,0.533,0.002,0.091,0,0.002,0.027,0,0.002,0
11NPSWRD_WQX-NCRN_HAFE_FLSP,0.016,0,0.131,0.128,0.071,0.025,0.007,0.105,0.004,0.028,0.002,0.009,0.263,0.198,0.008,0.004
