Site,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice
11NPSWRD_WQX-NCRN_ANTI_SHCK,0,17,28,0,9,5,39,2,0
11NPSWRD_WQX-NCRN_CATO_BGHC,1,81,5,0,2,7,2,2,0
11NPSWRD_WQX-NCRN_CATO_OWCK,0,83,9,0,0,3,3,2,0
11NPSWRD_WQX-NCRN_CATO_WHST,0,81,0,0,0,14,0,5,0
11NPSWRD_WQX-NCRN_GWMP_MICR,0,19,1,0,0,0,80,0,0
11NPSWRD_WQX-NCRN_GWMP_MIRU,0,94,1,0,0,1,3,2,0
11NPSWRD_WQX-NCRN_GWMP_PIRU,0,18,0,0,0,0,81,0,0
11NPSWRD_WQX-NCRN_GWMP_TURU,0,60,0,0,1,0,37,1,0
11NPSWRD_WQX-NCRN_HAFE_FLSP,2,24,17,0,19,5,32,0,0
11NPSWRD_WQX-NCRN_MANA_YOBR,0,52,20,0,3,10,9,5,0
11NPSWRD_WQX-NCRN_MONO_BUCK,0,40,19,0,11,5,24,1,0
11NPSWRD_WQX-NCRN_MONO_GAMI,0,34,12,0,19,5,30,0,0
11NPSWRD_WQX-NCRN_NACE_HECR,0,18,7,0,1,1,66,2,0
11NPSWRD_WQX-NCRN_NACE_OXRU,0,18,1,0,0,1,79,0,0
11NPSWRD_WQX-NCRN_NACE_STCK,0,54,0,0,1,1,43,0,0
11NPSWRD_WQX-NCRN_PRWI_CARU,0,96,0,0,0,3,1,0,0
11NPSWRD_WQX-NCRN_PRWI_MARU,0,97,0,0,0,3,0,0,0
11NPSWRD_WQX-NCRN_PRWI_MBBR,0,98,0,0,0,1,0,1,0
11NPSWRD_WQX-NCRN_PRWI_NFQC,0,93,0,0,0,3,3,1,0
11NPSWRD_WQX-NCRN_PRWI_ORRU,0,94,1,0,0,2,3,0,0
11NPSWRD_WQX-NCRN_PRWI_SFQC,0,93,0,0,0,3,3,1,0
11NPSWRD_WQX-NCRN_PRWI_SORU,0,98,0,0,0,2,0,0,0
11NPSWRD_WQX-NCRN_PRWI_TARU,0,94,0,0,0,6,0,0,0
11NPSWRD_WQX-NCRN_ROCR_BAKE,0,35,0,0,0,1,64,0,0
11NPSWRD_WQX-NCRN_ROCR_BRBR,0,18,0,0,0,0,82,0,0
11NPSWRD_WQX-NCRN_ROCR_DUOA,0,25,0,0,0,0,75,0,0
11NPSWRD_WQX-NCRN_ROCR_FEBR,0,3,0,0,0,0,97,0,0
11NPSWRD_WQX-NCRN_ROCR_HACR,0,24,0,0,0,0,76,0,0
11NPSWRD_WQX-NCRN_ROCR_KLVA,0,15,0,0,0,1,84,0,0
11NPSWRD_WQX-NCRN_ROCR_LUBR,0,6,2,0,0,0,92,0,0
11NPSWRD_WQX-NCRN_ROCR_NOST,0,7,0,0,0,0,93,0,0
11NPSWRD_WQX-NCRN_ROCR_PHBR,0,27,0,0,0,0,73,0,0
11NPSWRD_WQX-NCRN_ROCR_PYBR,0,4,0,0,0,0,96,0,0
11NPSWRD_WQX-NCRN_ROCR_ROC3,1,23,3,0,2,1,70,0,0
11NPSWRD_WQX-NCRN_ROCR_SVPS,0,12,0,0,0,0,88,0,0
11NPSWRD_WQX-NCRN_WOTR_CHCK,0,17,0,0,0,0,80,1,0
11NPSWRD_WQX-NCRN_WOTR_WOTR,0,18,0,0,1,1,79,1,0
