,Open water (11),Perennial ice/snow (12),"Developed, open (21)","Developed, low (22)","Developed, medium (23)","Developed, high (24)",Barren (31),Deciduous forest (41),Evergreen forest (42),Mixed forest (43),Shrubland (52),Grassland (71),Pasture (81),Crops (82),Woody wetlands (90),Emergent wetlands (95),,urb_tot_LMH,urb_tot_OLMH
11NPSWRD_WQX-NCRN_ANTI_SHCK,0,0,0.197,0.14,0.04,0.005,0.001,0.008,0,0.029,0,0,0.418,0.162,0,0,,18.5,38.2
11NPSWRD_WQX-NCRN_CATO_BGHC,0.008,0,0.066,0.007,0.001,0,0.001,0.82,0.002,0.021,0.001,0.002,0.058,0.007,0.006,0,,0.8,7.4
11NPSWRD_WQX-NCRN_CATO_OWCK,0,0,0.069,0.008,0.002,0,0,0.765,0.001,0.054,0,0,0.095,0.004,0.002,0,,1,7.9
11NPSWRD_WQX-NCRN_CATO_WHST,0,0,0.061,0.001,0,0,0,0.938,0,0,0,0,0,0,0,0,,0.1,6.2
11NPSWRD_WQX-NCRN_GWMP_MICR,0,0,0.424,0.434,0.048,0.007,0.001,0.071,0.001,0.012,0,0,0,0,0.001,0,,48.9,91.3
11NPSWRD_WQX-NCRN_GWMP_MIRU,0,0,0.187,0.007,0.001,0,0,0.729,0,0.051,0.001,0.004,0.003,0,0.018,0,,0.8,19.5
11NPSWRD_WQX-NCRN_GWMP_PIRU,0,0,0.305,0.378,0.107,0.021,0.001,0.135,0.001,0.039,0.001,0.003,0.005,0,0.006,0,,50.6,81.1
11NPSWRD_WQX-NCRN_GWMP_TURU,0,0,0.196,0.103,0.036,0.006,0.001,0.533,0.002,0.091,0,0.002,0.027,0,0.002,0,,14.5,34.1
11NPSWRD_WQX-NCRN_HAFE_FLSP,0.016,0,0.131,0.128,0.071,0.025,0.007,0.105,0.004,0.028,0.002,0.009,0.263,0.198,0.008,0.004,,22.4,35.5
11NPSWRD_WQX-NCRN_MANA_YOBR,0.001,0,0.065,0.065,0.039,0.022,0.002,0.204,0.064,0.079,0.026,0.011,0.313,0.001,0.1,0.007,,12.6,19.1
11NPSWRD_WQX-NCRN_MONO_BUCK,0.001,0,0.175,0.074,0.041,0.008,0,0.279,0.004,0.033,0.002,0.005,0.237,0.123,0.018,0.001,,12.3,29.8
11NPSWRD_WQX-NCRN_MONO_GAMI,0,0,0.139,0.079,0.01,0.005,0,0.247,0.004,0.09,0.002,0.002,0.287,0.135,0.001,0,,9.4,23.3
11NPSWRD_WQX-NCRN_NACE_HECR,0,0,0.201,0.304,0.266,0.132,0,0.07,0,0.019,0.001,0.005,0.001,0,0.001,0,,70.2,90.3
11NPSWRD_WQX-NCRN_NACE_OXRU,0,0,0.156,0.346,0.29,0.083,0,0.107,0,0.009,0,0.001,0.001,0.001,0.005,0,,71.9,87.5
11NPSWRD_WQX-NCRN_NACE_STCK,0,0,0.12,0.245,0.161,0.039,0,0.268,0.01,0.131,0,0.001,0.005,0,0.02,0,,44.5,56.5
11NPSWRD_WQX-NCRN_PRWI_CARU,0,0,0.132,0.005,0.01,0.005,0,0.638,0,0.192,0.018,0,0,0,0,0,,2,15.2
11NPSWRD_WQX-NCRN_PRWI_MARU,0,0,0.091,0.002,0,0,0,0.021,0.188,0.56,0,0,0,0,0.138,0,,0.2,9.3
11NPSWRD_WQX-NCRN_PRWI_MBBR,0,0,0.075,0.002,0,0,0,0.637,0.03,0.256,0,0,0,0,0,0,,0.2,7.7
