system:time_start,bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water
"Jan 8, 2022",0.048,0.039,0.033,0.04,0.028,0.037,0.68,0.042,0.055
"Feb 2, 2022",,,,,,,,,
"Feb 9, 2022",0.062,0.039,0.061,0.042,0.041,0.163,0.037,0.503,0.052
"Feb 27, 2022",0.058,0.036,0.069,0.03,0.038,0.135,0.034,0.556,0.044
"Mar 4, 2022",0.066,0.038,0.071,0.024,0.055,0.175,0.028,0.497,0.046
"Mar 11, 2022",0.074,0.048,0.062,0.031,0.052,0.168,0.038,0.486,0.041
"Mar 14, 2022",0.057,0.055,0.042,0.047,0.031,0.103,0.539,0.061,0.065
"Mar 16, 2022",0.062,0.053,0.073,0.029,0.038,0.131,0.04,0.534,0.041
"Mar 21, 2022",,,,,,,,,
"Mar 29, 2022",0.064,0.054,0.097,0.031,0.061,0.233,0.031,0.383,0.047
"Apr 8, 2022",0.066,0.121,0.133,0.04,0.066,0.208,0.038,0.266,0.062
"Apr 15, 2022",0.036,0.068,0.133,0.032,0.062,0.153,0.047,0.418,0.05
"Apr 20, 2022",0.033,0.059,0.087,0.037,0.065,0.101,0.042,0.534,0.044
"Apr 28, 2022",0.028,0.035,0.041,0.026,0.04,0.047,0.029,0.724,0.03
"May 10, 2022",0.029,0.036,0.052,0.028,0.052,0.044,0.028,0.706,0.027
"May 15, 2022",0.035,0.048,0.147,0.059,0.153,0.058,0.029,0.437,0.033
"May 18, 2022",0.035,0.043,0.095,0.038,0.067,0.034,0.029,0.623,0.036
"May 30, 2022",0.042,0.049,0.185,0.059,0.112,0.051,0.033,0.44,0.029
"Jun 4, 2022",0.037,0.053,0.112,0.046,0.073,0.032,0.033,0.583,0.03
"Jun 19, 2022",0.031,0.046,0.061,0.033,0.041,0.028,0.032,0.702,0.026
"Jun 29, 2022",0.028,0.036,0.041,0.031,0.032,0.028,0.031,0.748,0.026
"Jul 4, 2022",0.028,0.039,0.056,0.028,0.037,0.025,0.029,0.731,0.027
"Jul 12, 2022",,,,,,,,,
"Jul 14, 2022",,,,,,,,,
"Jul 19, 2022",0.031,0.033,0.034,0.029,0.031,0.03,0.031,0.753,0.028
"Jul 22, 2022",0.033,0.032,0.031,0.027,0.03,0.032,0.029,0.756,0.031
"Aug 3, 2022",,,,,,,,,
"Aug 8, 2022",,,,,,,,,
"Aug 11, 2022",0.036,0.034,0.031,0.028,0.034,0.039,0.029,0.737,0.031
"Aug 13, 2022",0.035,0.037,0.031,0.027,0.034,0.036,0.03,0.74,0.031
"Aug 16, 2022",,,,,,,,,
"Aug 18, 2022",0.036,0.036,0.031,0.03,0.036,0.039,0.03,0.73,0.031
"Aug 26, 2022",,,,,,,,,
"Aug 28, 2022",,,,,,,,,
"Aug 31, 2022",,,,,,,,,
"Sep 15, 2022",,,,,,,,,
"Sep 15, 2022",,,,,,,,,
"Sep 17, 2022",0.038,0.034,0.03,0.032,0.036,0.037,0.033,0.727,0.033
"Sep 20, 2022",,,,,,,,,
"Oct 7, 2022",0.034,0.033,0.03,0.032,0.036,0.037,0.031,0.732,0.033
"Oct 10, 2022",0.036,0.032,0.03,0.032,0.039,0.043,0.031,0.724,0.033
"Oct 15, 2022",0.029,0.033,0.027,0.03,0.038,0.039,0.03,0.74,0.034
"Oct 20, 2022",0.035,0.034,0.028,0.031,0.045,0.061,0.028,0.705,0.032
"Oct 22, 2022",0.03,0.032,0.027,0.029,0.058,0.053,0.03,0.708,0.033
"Oct 27, 2022",0.035,0.041,0.028,0.021,0.057,0.078,0.035,0.672,0.034
"Oct 30, 2022",0.039,0.038,0.03,0.022,0.066,0.147,0.031,0.588,0.039
"Nov 1, 2022",0.041,0.039,0.036,0.029,0.06,0.119,0.038,0.591,0.047
"Nov 9, 2022",0.09,0.032,0.04,0.036,0.097,0.284,0.027,0.337,0.056
"Nov 14, 2022",0.102,0.026,0.056,0.03,0.08,0.195,0.027,0.437,0.046
"Nov 19, 2022",0.115,0.028,0.064,0.038,0.074,0.222,0.033,0.355,0.071
"Nov 21, 2022",0.073,0.028,0.069,0.038,0.047,0.158,0.034,0.498,0.054
"Nov 26, 2022",0.129,0.023,0.057,0.039,0.073,0.251,0.029,0.336,0.063
"Dec 1, 2022",0.075,0.025,0.059,0.034,0.06,0.178,0.031,0.488,0.051
"Dec 9, 2022",0.108,0.031,0.042,0.038,0.07,0.195,0.032,0.415,0.069
"Dec 16, 2022",0.135,0.022,0.05,0.028,0.077,0.225,0.039,0.344,0.08
"Dec 19, 2022",0.182,0.025,0.062,0.032,0.08,0.227,0.04,0.268,0.085
"Dec 21, 2022",0.11,0.023,0.049,0.033,0.063,0.22,0.032,0.409,0.059
"Dec 24, 2022",0.319,0.036,0.035,0.033,0.053,0.178,0.08,0.079,0.187
"Dec 29, 2022",0.112,0.028,0.045,0.049,0.067,0.215,0.036,0.365,0.083
