system:time_start,bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water
"Jan 8, 2022",0.05,0.038,0.03,0.028,0.029,0.027,0.736,0.029,0.032
"Feb 2, 2022",,,,,,,,,
"Feb 9, 2022",0.058,0.443,0.055,0.026,0.049,0.057,0.043,0.22,0.049
"Feb 27, 2022",0.044,0.356,0.041,0.023,0.03,0.055,0.039,0.369,0.043
"Mar 4, 2022",0.048,0.341,0.043,0.027,0.038,0.085,0.041,0.337,0.042
"Mar 11, 2022",0.044,0.543,0.036,0.024,0.043,0.051,0.038,0.186,0.037
"Mar 14, 2022",0.048,0.05,0.044,0.039,0.039,0.133,0.486,0.118,0.041
"Mar 16, 2022",0.043,0.555,0.041,0.023,0.033,0.048,0.039,0.184,0.035
"Mar 21, 2022",,,,,,,,,
"Mar 29, 2022",0.029,0.578,0.037,0.029,0.031,0.056,0.031,0.171,0.037
"Apr 8, 2022",0.024,0.684,0.031,0.029,0.032,0.034,0.024,0.111,0.032
"Apr 15, 2022",0.028,0.588,0.057,0.028,0.044,0.04,0.032,0.15,0.031
"Apr 20, 2022",0.03,0.528,0.058,0.035,0.046,0.046,0.032,0.191,0.033
"Apr 28, 2022",0.03,0.193,0.053,0.036,0.045,0.036,0.04,0.531,0.036
"May 10, 2022",0.034,0.29,0.057,0.042,0.053,0.031,0.045,0.415,0.034
"May 15, 2022",0.038,0.33,0.07,0.046,0.081,0.035,0.036,0.33,0.035
"May 18, 2022",0.034,0.301,0.066,0.046,0.064,0.028,0.038,0.387,0.035
"May 30, 2022",0.035,0.384,0.073,0.045,0.06,0.033,0.039,0.299,0.031
"Jun 4, 2022",0.034,0.41,0.065,0.04,0.059,0.031,0.036,0.296,0.029
"Jun 19, 2022",0.033,0.335,0.064,0.041,0.055,0.033,0.043,0.367,0.029
"Jun 29, 2022",0.034,0.198,0.064,0.035,0.041,0.026,0.047,0.522,0.032
"Jul 4, 2022",0.036,0.262,0.07,0.036,0.048,0.027,0.044,0.443,0.034
"Jul 12, 2022",,,,,,,,,
"Jul 14, 2022",,,,,,,,,
"Jul 19, 2022",0.031,0.103,0.056,0.028,0.038,0.024,0.045,0.642,0.031
"Jul 22, 2022",0.028,0.052,0.046,0.023,0.035,0.024,0.035,0.729,0.028
"Aug 3, 2022",,,,,,,,,
"Aug 8, 2022",,,,,,,,,
"Aug 11, 2022",0.031,0.06,0.038,0.024,0.034,0.026,0.033,0.726,0.029
"Aug 13, 2022",0.036,0.115,0.054,0.027,0.035,0.024,0.043,0.631,0.035
"Aug 16, 2022",,,,,,,,,
"Aug 18, 2022",0.032,0.076,0.042,0.026,0.034,0.024,0.038,0.697,0.031
"Aug 26, 2022",,,,,,,,,
"Aug 28, 2022",,,,,,,,,
"Aug 31, 2022",,,,,,,,,
"Sep 15, 2022",,,,,,,,,
"Sep 15, 2022",,,,,,,,,
"Sep 17, 2022",0.035,0.043,0.036,0.027,0.037,0.035,0.039,0.719,0.03
"Sep 20, 2022",,,,,,,,,
"Oct 7, 2022",0.029,0.051,0.04,0.026,0.034,0.025,0.037,0.724,0.034
"Oct 10, 2022",0.029,0.041,0.036,0.024,0.037,0.032,0.033,0.738,0.031
"Oct 15, 2022",0.027,0.07,0.032,0.027,0.038,0.029,0.037,0.706,0.033
"Oct 20, 2022",0.026,0.056,0.029,0.026,0.048,0.034,0.035,0.714,0.032
"Oct 22, 2022",0.034,0.132,0.033,0.03,0.05,0.033,0.05,0.596,0.042
"Oct 27, 2022",0.046,0.201,0.024,0.03,0.049,0.057,0.061,0.495,0.036
"Oct 30, 2022",0.043,0.202,0.029,0.03,0.064,0.091,0.046,0.46,0.036
"Nov 1, 2022",0.043,0.134,0.032,0.028,0.051,0.07,0.048,0.562,0.032
"Nov 9, 2022",0.053,0.159,0.051,0.035,0.06,0.187,0.046,0.361,0.048
"Nov 14, 2022",0.043,0.257,0.047,0.028,0.045,0.1,0.043,0.39,0.047
"Nov 19, 2022",0.046,0.255,0.048,0.028,0.042,0.103,0.045,0.386,0.047
"Nov 21, 2022",0.053,0.352,0.054,0.024,0.042,0.072,0.039,0.312,0.052
"Nov 26, 2022",0.061,0.29,0.055,0.029,0.057,0.106,0.045,0.298,0.059
"Dec 1, 2022",0.061,0.335,0.049,0.024,0.057,0.077,0.041,0.298,0.059
"Dec 9, 2022",0.048,0.272,0.04,0.029,0.047,0.087,0.041,0.382,0.054
"Dec 16, 2022",0.06,0.254,0.044,0.034,0.077,0.126,0.039,0.314,0.051
"Dec 19, 2022",0.059,0.254,0.052,0.03,0.061,0.099,0.045,0.344,0.056
"Dec 21, 2022",0.074,0.332,0.043,0.031,0.066,0.1,0.045,0.246,0.063
"Dec 24, 2022",0.284,0.039,0.034,0.05,0.064,0.193,0.059,0.095,0.182
"Dec 29, 2022",0.067,0.235,0.039,0.033,0.052,0.095,0.048,0.377,0.055
