system:time_start,bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water
"Jan 8, 2022",0.068,0.044,0.032,0.032,0.029,0.031,0.699,0.029,0.036
"Feb 2, 2022",,,,,,,,,
"Feb 9, 2022",0.044,0.666,0.036,0.036,0.031,0.056,0.032,0.053,0.045
"Feb 27, 2022",0.039,0.709,0.03,0.032,0.033,0.043,0.032,0.043,0.038
"Mar 4, 2022",0.052,0.602,0.042,0.038,0.034,0.097,0.036,0.06,0.039
"Mar 11, 2022",0.033,0.73,0.035,0.038,0.026,0.039,0.029,0.034,0.037
"Mar 14, 2022",0.05,0.089,0.036,0.042,0.024,0.048,0.612,0.057,0.041
"Mar 16, 2022",0.028,0.744,0.029,0.035,0.03,0.032,0.028,0.036,0.036
"Mar 21, 2022",,,,,,,,,
"Mar 29, 2022",0.041,0.681,0.037,0.035,0.029,0.052,0.031,0.056,0.037
"Apr 8, 2022",0.035,0.701,0.037,0.037,0.029,0.038,0.03,0.057,0.036
"Apr 15, 2022",0.026,0.756,0.038,0.03,0.027,0.028,0.027,0.036,0.031
"Apr 20, 2022",0.03,0.734,0.041,0.033,0.03,0.032,0.027,0.04,0.032
"Apr 28, 2022",0.031,0.718,0.041,0.037,0.033,0.038,0.03,0.04,0.032
"May 10, 2022",0.032,0.729,0.035,0.037,0.034,0.035,0.031,0.037,0.029
"May 15, 2022",,,,,,,,,
"May 18, 2022",0.03,0.725,0.042,0.036,0.031,0.03,0.029,0.046,0.03
"May 30, 2022",0.035,0.67,0.056,0.041,0.035,0.036,0.032,0.062,0.033
"Jun 4, 2022",0.03,0.731,0.039,0.034,0.03,0.032,0.03,0.045,0.029
"Jun 19, 2022",0.031,0.739,0.033,0.033,0.032,0.037,0.027,0.039,0.028
"Jun 29, 2022",0.035,0.708,0.038,0.037,0.031,0.035,0.031,0.055,0.031
"Jul 4, 2022",0.029,0.743,0.036,0.031,0.028,0.031,0.029,0.043,0.029
"Jul 12, 2022",0.055,0.429,0.061,0.049,0.043,0.074,0.053,0.196,0.04
"Jul 14, 2022",,,,,,,,,
"Jul 19, 2022",0.036,0.679,0.042,0.038,0.032,0.038,0.032,0.07,0.033
"Jul 22, 2022",0.034,0.669,0.039,0.037,0.029,0.041,0.032,0.085,0.035
"Aug 3, 2022",0.036,0.683,0.04,0.036,0.031,0.04,0.034,0.066,0.034
"Aug 8, 2022",,,,,,,,,
"Aug 11, 2022",0.033,0.705,0.033,0.035,0.029,0.035,0.029,0.067,0.033
"Aug 13, 2022",0.028,0.745,0.033,0.033,0.03,0.029,0.026,0.047,0.03
"Aug 16, 2022",,,,,,,,,
"Aug 18, 2022",0.036,0.686,0.039,0.036,0.032,0.037,0.028,0.07,0.035
"Aug 26, 2022",,,,,,,,,
"Aug 28, 2022",,,,,,,,,
"Aug 31, 2022",,,,,,,,,
"Sep 15, 2022",,,,,,,,,
"Sep 15, 2022",,,,,,,,,
"Sep 17, 2022",0.042,0.536,0.091,0.055,0.028,0.036,0.044,0.114,0.055
"Sep 20, 2022",,,,,,,,,
"Oct 7, 2022",0.031,0.689,0.039,0.043,0.03,0.032,0.028,0.072,0.036
"Oct 10, 2022",0.03,0.71,0.027,0.037,0.028,0.037,0.028,0.068,0.034
"Oct 15, 2022",0.034,0.664,0.035,0.038,0.033,0.038,0.03,0.09,0.036
"Oct 20, 2022",0.029,0.709,0.025,0.037,0.027,0.04,0.029,0.07,0.035
"Oct 22, 2022",0.03,0.704,0.033,0.038,0.034,0.035,0.027,0.062,0.036
"Oct 27, 2022",0.028,0.703,0.028,0.038,0.034,0.035,0.029,0.069,0.036
"Oct 30, 2022",0.042,0.583,0.031,0.042,0.044,0.064,0.036,0.12,0.038
"Nov 1, 2022",0.033,0.629,0.029,0.038,0.03,0.036,0.033,0.126,0.046
"Nov 9, 2022",0.029,0.672,0.025,0.034,0.032,0.047,0.03,0.089,0.041
"Nov 14, 2022",0.036,0.648,0.032,0.037,0.033,0.045,0.034,0.094,0.042
"Nov 19, 2022",0.039,0.639,0.03,0.033,0.029,0.053,0.036,0.097,0.043
"Nov 21, 2022",0.031,0.701,0.027,0.034,0.028,0.039,0.03,0.071,0.04
"Nov 26, 2022",0.035,0.615,0.035,0.035,0.03,0.049,0.032,0.121,0.049
"Dec 1, 2022",0.034,0.667,0.031,0.036,0.029,0.039,0.033,0.086,0.045
"Dec 9, 2022",0.047,0.585,0.026,0.037,0.031,0.057,0.045,0.13,0.042
"Dec 16, 2022",0.039,0.573,0.027,0.036,0.024,0.048,0.048,0.151,0.053
"Dec 19, 2022",0.056,0.504,0.036,0.036,0.034,0.086,0.051,0.155,0.043
"Dec 21, 2022",0.048,0.512,0.037,0.037,0.036,0.069,0.039,0.17,0.053
"Dec 24, 2022",0.165,0.054,0.03,0.028,0.053,0.165,0.134,0.268,0.104
"Dec 29, 2022",0.059,0.502,0.033,0.035,0.036,0.086,0.051,0.15,0.047
