site,,,,mean_urb,std_urb,mean_trees,std_trees
11NPSWRD_WQX-NCRN_PRWI_BONE,,,,3.659779021,3.179120432,59.1427034,4.164582601
11NPSWRD_WQX-NCRN_PRWI_CARU,,,,3.745256985,4.499410574,58.50241463,5.103777561
11NPSWRD_WQX-NCRN_PRWI_MARU,,,,3.023190528,0.155297755,63.86488466,2.921183366
11NPSWRD_WQX-NCRN_PRWI_MBBR,,,,3.071466667,0.336765548,61.14871111,2.360556237
11NPSWRD_WQX-NCRN_PRWI_ORRU,,,,5.028743567,4.63477745,55.74808585,9.447917044
11NPSWRD_WQX-NCRN_PRWI_SFQC,,,,3.799565682,5.082937144,59.33935712,7.634448946
11NPSWRD_WQX-NCRN_PRWI_SORU,,,,3.04661032,0.212062461,61.72861252,3.07442893
11NPSWRD_WQX-NCRN_PRWI_TARU,,,,3.050153846,0.261254325,61.02979487,3.329924071
11NPSWRD_WQX-NCRN_ROCR_BRBR,,,,49.86548771,22.17976714,19.4132681,18.27142531
11NPSWRD_WQX-NCRN_ROCR_DUOA,,,,44.72342907,24.61224691,22.78058026,20.4519242
11NPSWRD_WQX-NCRN_ROCR_FEBR,,,,59.03039382,12.28579093,10.01615836,8.931707563
11NPSWRD_WQX-NCRN_ROCR_HACR,,,,45.30796686,22.04828687,21.72033142,19.56089805
11NPSWRD_WQX-NCRN_ROCR_KLVA,,,,50.61411027,21.14784505,18.06223615,16.79341257
11NPSWRD_WQX-NCRN_ROCR_LUBR,,,,60.48150488,18.13662061,8.47338621,10.98879148
11NPSWRD_WQX-NCRN_ROCR_NOST,,,,53.52968468,17.80421425,16.19403843,14.2407954
11NPSWRD_WQX-NCRN_ROCR_PHBR,,,,43.32500509,23.04164713,25.15673683,18.67919988
11NPSWRD_WQX-NCRN_ROCR_PYBR,,,,64.25528117,15.09249742,7.336235801,10.86933911
11NPSWRD_WQX-NCRN_ROCR_ROC3,,,,41.76656043,25.47371149,21.72571174,19.00901541
