"Site_name","Trees","Crops","Built","Protect.","Area"
"ANTI_SHCK",18,14,40,52,3.3
"CATO_BGHC",91,2,2,58,22.3
"CATO_BLBZ",100,0,0,100,2.2
"CATO_OWCK",89,0,3,64,7.2
"GWMP_MICR",20,0,79,3,3.5
"GWMP_MIRU",73,0,22,8,6.5
"GWMP_PIRU",19,0,80,7,27.8
"GWMP_TURU",63,1,36,51,2.7
"HAFE_FLSP",30,23,33,4,21.2
"MANA_YOBR",56,1,15,70,17.1
"MONO_BUCK",50,11,24,6,82.4
"MONO_GAMI",48,18,27,20,2.6
"NACE_HECR",23,0,65,25,9.6
"NACE_OXRU",23,0,74,12,33.9
"NACE_STCK",60,0,38,54,9.6
"PRWI_BONE",100,0,0,74,0.5
"PRWI_CARU",99,0,1,100,0.4
"PRWI_MARU",100,0,0,100,0.3
"PRWI_MBBR",100,0,0,100,2.1
"PRWI_NFQC",98,0,2,90,17.8
"PRWI_ORRU",98,0,1,46,0.5
"PRWI_SFQC",99,0,1,95,43.3
"PRWI_SORU",100,0,0,100,3.4
"PRWI_TARU",100,0,0,100,1.2
"ROCR_BAKE",47,0,53,38,0.7
"ROCR_BRBR",21,0,79,14,6.7
"ROCR_DUOA",33,0,67,47,0.8
"ROCR_FEBR",4,0,95,5,4
"ROCR_KLVA",3,0,97,1,0.5
"ROCR_LUBR",7,0,91,13,2.7
"ROCR_NOST",16,0,84,22,1
"ROCR_PHBR",25,0,75,22,2.7
"ROCR_PYBR",6,0,94,6,9.9
"ROCR_R630",26,0,74,21,0.9
"ROCR_ROC3",31,0,65,23,196.3
"WOTR_CHCK",21,0,77,7,4.1
"WOTR_WOTR",24,0,74,8,14.3
