Activity Identifier,Characteristic Name
11NPSWRD_WQX-NCRN_PRWI_NOCH_20050613110003,"Temperature, air"
11NPSWRD_WQX-NCRN_PRWI_QUCR_20050613140003,"Temperature, air"
11NPSWRD_WQX-NCRN_PRWI_SFQR_20050613021003,"Temperature, air"
11NPSWRD_WQX-NCRN_PRWI_QUCR_20050714015703,"Temperature, air"
11NPSWRD_WQX-NCRN_ROCR_BRBR_20050627115506,"Temperature, water"
11NPSWRD_WQX-NCRN_ROCR_BRBR_20050627115504,"Temperature, water"
11NPSWRD_WQX-NCRN_ROCR_BRBR_20050627115505,"Temperature, water"
11NPSWRD_WQX-NCRN_MANA_CHBR_20070702000002,"Temperature, water"
11NPSWRD_WQX-NCRN_MANA_CHBR_20070702000003,"Temperature, water"
11NPSWRD_WQX-NCRN_CATO_BGHC_20090610111104,"Temperature, water"
11NPSWRD_WQX-NCRN_ROCR_PHBR_20110725092903,"Temperature, water"
11NPSWRD_WQX-NCRN_ROCR_FEBR_20070522090001_03,Ammonia
11NPSWRD_WQX-NCRN_ANTI_ANCR_20160301110001_01,Flow
11NPSWRD_WQX-NCRN_CATO_BGHC_20080825000003,pH
11NPSWRD_WQX-NCRN_ROCR_BRBR_20090113112104,pH
11NPSWRD_WQX-NCRN_ROCR_PHBR_20110725092903,pH
11NPSWRD_WQX-NCRN_ROCR_HACR_20170717125002,pH
11NPSWRD_WQX-NCRN_CATO_OWCK_20081118113605,pH
11NPSWRD_WQX-NCRN_CATO_OWCK_20081118113604,pH
11NPSWRD_WQX-NCRN_CATO_OWCK_20081118113603,pH
11NPSWRD_WQX-NCRN_PRWI_SFQC_20060928123002,pH
11NPSWRD_WQX-NCRN_ROCR_BAKE_20060518140801_04,"Total Phosphorus, mixed forms"
11NPSWRD_WQX-NCRN_ROCR_BAKE_20060518140801_04,"Total Phosphorus, mixed forms"
11NPSWRD_WQX-NCRN_WOTR_CHCK_20060925000001_04,"Total Phosphorus, mixed forms"
11NPSWRD_WQX-NCRN_WOTR_CHCK_20060925000001_04,"Total Phosphorus, mixed forms"
11NPSWRD_WQX-NCRN_NACE_ACCK_20061002133201_04,"Total Phosphorus, mixed forms"
11NPSWRD_WQX-NCRN_NACE_ACCK_20061002133201_04,"Total Phosphorus, mixed forms"
11NPSWRD_WQX-NCRN_WOTR_WOTR_20061019111201_04,"Total Phosphorus, mixed forms"
11NPSWRD_WQX-NCRN_WOTR_WOTR_20061019111201_04,"Total Phosphorus, mixed forms"
11NPSWRD_WQX-NCRN_ROCR_ROC3_20080910000004,Salinity
11NPSWRD_WQX-NCRN_GWMP_MICR_20050608100504,Dissolved oxygen (DO)
11NPSWRD_WQX-NCRN_MONO_GAMI_20080922000002,Orthophosphate
11NPSWRD_WQX-NCRN_MONO_GAMI_20080922000002,Orthophosphate
11NPSWRD_WQX-NCRN_MONO_GAMI_20080922000001_04,Orthophosphate
11NPSWRD_WQX-NCRN_MONO_GAMI_20080922000001_04,Orthophosphate
11NPSWRD_WQX-NCRN_PRWI_NFQC_20170411132801,Barometric pressure
